director_name,budget,genres,actor_1_name,movie_title,plot_keywords,content_rating,genre_adjusted
Tobe Hooper,10700000.0,"['Fantasy', 'Horror']",Heather O'Rourke,Poltergeist ,"['ghost', 'haunted', 'haunting', 'house', 'paranormal investigator']",PG,Horror
Brett Ratner,100000000.0,"['Action', 'Adventure']",Dwayne Johnson,Hercules ,"['army', 'greek mythology', 'hercules', 'king', 'mercenary']",PG-13,Adventure
Dennis Dugan,33000000.0,"['Comedy', 'Romance', 'Sport']",Jon Lovitz,The Benchwarmers ,"['baseball', 'baseball team', 'bully', 'millionaire', 'team']",PG-13,Comedy
Liz Friedlander,30000000.0,"['Drama', 'Music']",Alfre Woodard,Take the Lead ,"['ballroom', 'dance', 'dance teacher', 'student', 'teacher']",PG-13,Drama
Robert Redford,60000000.0,"['Drama', 'Fantasy', 'Sport']",Matt Damon,The Legend of Bagger Vance ,"['caddy', 'game', 'golf', 'golf course', 'golfer']",PG-13,Drama
Gavin O'Connor,30000000.0,"['Crime', 'Drama', 'Thriller']",Jennifer Ehle,Pride and Glory ,"['brother in law', 'corruption', 'drug dealer', 'drugs', 'police']",R,Drama
Guillermo del Toro,66000000.0,"['Action', 'Fantasy', 'Horror', 'Sci-Fi']",James Babson,Hellboy ,"['assassin', 'demon', 'hero', 'nazi', 'superhero']",PG-13,Action
Alexandre Aja,35000000.0,"['Horror', 'Mystery']",Jason Flemyng,Mirrors ,"['estranged wife', 'evil', 'fire', 'medication', 'mirror']",R,Mystery
Peter Chelsom,90000000.0,"['Comedy', 'Romance']",Del Zamora,Town & Country ,"['anniversary', 'architect', 'cellist', 'friend', 'hardware store']",R,Romance
Robert Rodriguez,38000000.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",Steve Buscemi,Spy Kids 2: Island of Lost Dreams ,"['island', 'mad scientist', 'scientist', 'sequel', 'spy']",PG,Sci-Fi
Justin Chadwick,35000000.0,"['Biography', 'Drama', 'History', 'Romance']",Natalie Portman,The Other Boleyn Girl ,"['children', 'court', 'king', 'king henry viii', 'love']",PG-13,Drama
Roland Joffé,36000000.0,"['Biography', 'Drama', 'War']",Jordi Mollà,There Be Dragons ,"['dying', 'forgiveness', 'saint', 'spanish civil war', 'starts with narration']",PG-13,War
John Carpenter,28000000.0,"['Action', 'Horror', 'Sci-Fi']",Jason Statham,Ghosts of Mars ,"['head on a stake', 'machine gun', 'martian', 'nuclear reactor', 'outer space']",R,Horror
Rob Marshall,80000000.0,"['Drama', 'Musical', 'Romance']",Fergie,Nine ,"['based on stage musical based on film', 'child abuse', 'film director', 'italian', 'mistress']",PG-13,Drama
John R. Leonetti,30000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",Brian Thompson,Mortal Kombat: Annihilation ,"['alternate reality', 'battle', 'martial arts', 'mortal kombat', 'warrior']",PG-13,Thriller
Barbra Streisand,30000000.0,"['Drama', 'Romance']",George Carlin,The Prince of Tides ,"['new york', 'psychiatrist', 'shrimper', 'south carolina', 'twins']",R,Romance
Andrew Stanton,180000000.0,"['Adventure', 'Animation', 'Family', 'Sci-Fi']",John Ratzenberger,WALL·E ,"['earth', 'obesity', 'plant', 'robot', 'soil']",G,Adventure
Kevin Bray,56000000.0,"['Action', 'Crime']",Dwayne Johnson,Walking Tall ,"['casino', 'football', 'sheriff', 'special forces', 'violence']",PG-13,Crime
Alan Parker,55000000.0,"['Biography', 'Drama', 'History', 'Musical']",Andrea Corr,Evita ,"['actress', 'argentina', 'military', 'politics', 'singer']",PG,Biography
Igor Kovalyov,24000000.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Musical']",Elizabeth Daily,The Rugrats Movie ,"['baby', 'home', 'hospital', 'lost', 'newborn baby']",G,Musical
Chris Wedge,59000000.0,"['Adventure', 'Animation', 'Comedy', 'Family']",Goran Visnjic,Ice Age ,"['baby', 'ice', 'ice age', 'sleeping', 'sloth']",PG,Comedy
Kar-Wai Wong,38600000.0,"['Action', 'Biography', 'Drama']",Tony Chiu Wai Leung,The Grandmaster ,"['challenge', 'china', 'hong kong', 'martial arts', 'martial arts master']",PG-13,Drama
Ryan Murphy,60000000.0,"['Drama', 'Romance']",James Franco,Eat Pray Love ,"['divorce', 'emotional balance', 'female protagonist', 'indonesia', 'inner peace']",PG-13,Drama
Joe Dante,40000000.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",Kirsten Dunst,Small Soldiers ,"['action figure', 'battle', 'computer', 'military', 'toy']",PG-13,Sci-Fi
Peter Ramsey,145000000.0,"['Adventure', 'Animation', 'Family', 'Fantasy']",Hugh Jackman,Rise of the Guardians ,"['belief', 'box office hit', 'children', 'new york city', 'tooth']",PG,Fantasy
Brad Silberling,100000000.0,"['Adventure', 'Comedy', 'Sci-Fi']",Will Ferrell,Land of the Lost ,"['human versus dinosaur', 'lizard', 'primate', 'time travel', 'tyrannosaurus rex']",PG-13,Sci-Fi
Brett Ratner,90000000.0,"['Action', 'Comedy', 'Crime', 'Thriller']",Mei Melançon,Rush Hour 2 ,"['boat', 'gang', 'hong kong', 'triad', 'vacation']",PG-13,Thriller
David Yates,150000000.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",Robert Pattinson,Harry Potter and the Order of the Phoenix ,"['battle', 'magic', 'school', 'teacher', 'wizard']",PG-13,Adventure
Wes Ball,34000000.0,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']",Ki Hong Lee,The Maze Runner ,"['based on novel', 'concrete wall', 'maze', 'open ended', 'teenage boy']",PG-13,Mystery
Bryan Singer,209000000.0,"['Action', 'Adventure', 'Sci-Fi']",Kevin Spacey,Superman Returns ,"['crystal', 'epic', 'lex luthor', 'lois lane', 'return to earth']",PG-13,Adventure
Steven Soderbergh,60000000.0,"['Drama', 'Thriller']",Matt Damon,Contagion ,"['contagion', 'cure', 'infection', 'panic', 'virus']",PG-13,Drama
Niels Arden Oplev,30000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Dominic Cooper,Dead Man Down ,"['crime lord', 'dead body', 'dead body in a freezer', 'new york city', 'truck explosion']",R,Crime
Stephen Hopkins,80000000.0,"['Action', 'Adventure', 'Family', 'Sci-Fi', 'Thriller']",Gary Oldman,Lost in Space ,"['based on tv series', 'remake', 'robot', 'scientist', 'spaceship']",PG-13,Sci-Fi
Jimmy Hayward,47000000.0,"['Action', 'Drama', 'Fantasy', 'Thriller', 'Western']",Michael Fassbender,Jonah Hex ,"['confederate', 'death', 'independence day', 'military', 'terrorist']",PG-13,Thriller
Brad Bird,190000000.0,"['Action', 'Adventure', 'Family', 'Mystery', 'Sci-Fi']",Judy Greer,Tomorrowland ,"['boy genius', 'futuristic city', 'inventor', 'teenage girl', 'time travel']",PG,Sci-Fi
Rob Cohen,57000000.0,"['Action', 'Adventure', 'Fantasy']",Dennis Quaid,DragonHeart ,"['dragon', 'england', 'human dragon relationship', 'king', 'knight']",PG-13,Action
Guillermo del Toro,54000000.0,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",Norman Reedus,Blade II ,"['blade the character', 'cult film', 'mutation', 'vampire', 'warrior']",R,Action
Wes Craven,40000000.0,"['Horror', 'Mystery']",Kelly Rutherford,Scream 3 ,"['death', 'ghostface', 'murder', 'scream', 'survivor']",R,Horror
Patrick Lussier,28000000.0,"['Action', 'Fantasy', 'Horror', 'Thriller']",Gerard Butler,Dracula 2000 ,"['dracula', 'gothic', 'painting', 'rescue', 'van helsing']",R,Action
Sydney Pollack,42000000.0,"['Drama', 'Mystery', 'Thriller']",Tom Cruise,The Firm ,"['bar', 'fbi', 'law', 'law firm', 'lawyer']",R,Thriller
Jerry Zucker,55000000.0,"['Action', 'Adventure', 'Romance', 'Thriller']",Julia Ormond,First Knight ,"['battle', 'king', 'king arthur', 'knight', 'marriage']",PG-13,Thriller
Glenn Ficarra,50100000.0,"['Comedy', 'Crime', 'Drama', 'Romance']",Will Smith,Focus ,"['con artist', 'con man', 'deception', 'rivalry', 'seduction']",R,Drama
Stephen Herek,57000000.0,"['Drama', 'Music']",Beth Grant,Rock Star ,"['cover band', 'fired from a job', 'heavy metal', 'rock star', 'tribute band']",R,Music
Paul W.S. Anderson,60000000.0,"['Horror', 'Sci-Fi', 'Thriller']",Sean Pertwee,Event Horizon ,"['solar system', 'space', 'spaceship', 'starship', 'year 2047']",R,Thriller
Daniel Espinosa,50000000.0,"['Crime', 'Drama', 'Thriller']",Tom Hardy,Child 44 ,"['child murderer', 'murder', 'sex', 'soviet union', 'woman slaps a man']",R,Drama
James Bobin,170000000.0,"['Adventure', 'Family', 'Fantasy']",Johnny Depp,Alice Through the Looking Glass ,"['clock', 'dark fantasy', 'mad hatter', 'queen', 'sequel']",PG,Adventure
Mike Newell,35000000.0,"['Biography', 'Crime', 'Drama']",Johnny Depp,Donnie Brasco ,"['fbi', 'mafia', 'money', 'racial slur', 'singer']",R,Drama
Paul W.S. Anderson,65000000.0,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",Milla Jovovich,Resident Evil: Retribution ,"['corporation', 'fight', 'rescue', 'umbrella', 'zombie']",R,Sci-Fi
Guy Ritchie,90000000.0,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",Robert Downey Jr.,Sherlock Holmes ,"['black magic', 'bridge construction', 'professor moriarty', 'scotland yard inspector', 'sherlock holmes']",PG-13,Crime
Simon Wincer,45000000.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Cary-Hiroyuki Tagawa,The Phantom ,"['ghost', 'new york city', 'phantom', 'skull', 'superhero']",PG,Action
Ruben Fleischer,60000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Ryan Gosling,Gangster Squad ,"['good versus evil', 'machine gun', 'mobster', 'police vigilantism', 'year 1949']",R,Thriller
Quentin Tarantino,44000000.0,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Western']",Craig Stark,The Hateful Eight ,"['blizzard', 'blood vomiting', 'bounty hunter', 'murder', 'shot in the crotch']",R,Thriller
Ron Howard,62000000.0,"['Adventure', 'Drama', 'History']",Tom Hanks,Apollo 13 ,"['cape kennedy', 'news footage', 'reference to christopher columbus', 'rocket', 'trapped in space']",PG,History
Marco Schnabel,62000000.0,"['Comedy', 'Romance', 'Sport']",Justin Timberlake,The Love Guru ,"['bloopers during credits', 'bucket of popcorn', 'chastity belt', 'guru', 'toronto maple leafs']",PG-13,Comedy
Clay Kaytis,73000000.0,"['Action', 'Animation', 'Comedy', 'Family']",Peter Dinklage,The Angry Birds Movie ,"['butt', 'downward duck', 'fish', 'kingfisher', 'pig']",PG,Action
David Koepp,40000000.0,"['Mystery', 'Thriller']",Johnny Depp,Secret Window ,"['adultery', 'extramarital affair', 'infidelity', 'unfaithfulness', 'writer']",PG-13,Mystery
Steven Spielberg,132000000.0,"['Adventure', 'Sci-Fi', 'Thriller']",Tom Cruise,War of the Worlds ,"['alien', 'fight', 'storm', 'survival', 'tripod']",PG-13,Sci-Fi
Elizabeth Banks,29000000.0,"['Comedy', 'Music']",Anna Kendrick,Pitch Perfect 2 ,"['2010s', 'a cappella', 'box office hit', 'second part', 'sequel']",PG-13,Music
Clint Eastwood,65000000.0,"['Action', 'Adventure', 'Thriller']",Clint Eastwood,Space Cowboys ,"['nasa', 'old age', 'satellite', 'space', 'space shuttle']",PG-13,Action
Reginald Hudlin,29000000.0,"['Comedy', 'Romance']",Matthew Perry,Serving Sara ,"['divorce', 'divorce papers', 'new york', 'process server', 'texas']",PG-13,Romance
Barry Levinson,44000000.0,"['Crime', 'Drama', 'Thriller']",Robert De Niro,Sleepers ,"['boy', 'guard', 'kicked in the crotch', 'prank', 'sexual abuse']",R,Crime
Steven Spielberg,100000000.0,"['Adventure', 'Drama', 'Sci-Fi']",Haley Joel Osment,A.I. Artificial Intelligence ,"['affection', 'boy', 'fairy', 'future', 'robot']",PG-13,Sci-Fi
Bryan Singer,178000000.0,"['Action', 'Adventure', 'Sci-Fi']",Jennifer Lawrence,X-Men: Apocalypse ,"['mutant', 'superhero', 'superhero team', 'x men', 'year 1983']",PG-13,Action
Harold Ramis,45000000.0,"['Comedy', 'Romance', 'Sci-Fi']",John de Lancie,Multiplicity ,"['clone', 'cloning', 'construction', 'same actor playing two characters simultaneously on screen', 'year 1996']",PG-13,Sci-Fi
Sam Raimi,32000000.0,"['Action', 'Thriller', 'Western']",Leonardo DiCaprio,The Quick and the Dead ,"['authority figure as villian', 'gun duel', 'saved from hanging', 'showdown', 'street shootout']",R,Action
Joel Schumacher,125000000.0,['Action'],Michael Gough,Batman & Robin ,"['butler', 'critically bashed', 'cure', 'freeze', 'gotham']",PG-13,Action
Lasse Hallström,28000000.0,"['Drama', 'Romance', 'Thriller']",David Lyons,Safe Haven ,"['abusive husband', 'chick flick', 'north carolina', 'secret', 'widower']",PG-13,Thriller
Pete Travis,35000000.0,"['Action', 'Sci-Fi']",Wood Harris,Dredd ,"['brutality', 'dark humor', 'female antagonist', 'female warrior', 'post apocalypse']",R,Sci-Fi
Barry Sonnenfeld,38000000.0,"['Comedy', 'Fantasy']",Anjelica Huston,The Addams Family ,"['accountant', 'loan shark', 'macabre', 'uncle', 'uncle fester']",PG-13,Comedy
Bryan Singer,195000000.0,"['Adventure', 'Fantasy']",Eddie Marsan,Jack the Giant Slayer ,"['bean', 'giant', 'king', 'no opening credits', 'princess']",PG-13,Adventure
Louis Leterrier,45000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Morgan Freeman,Unleashed ,"['collar', 'dog', 'fight', 'fighting', 'piano']",R,Crime
Mark Dindal,150000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",Catherine O'Hara,Chicken Little ,"['alien invasion', 'chicken', 'fish', 'friend', 'panic']",G,Adventure
Josh Trank,120000000.0,"['Action', 'Adventure', 'Sci-Fi']",Tim Blake Nelson,Fantastic Four ,"['box office flop', 'critically bashed', 'portal', 'teleportation', 'troubled production']",PG-13,Sci-Fi
Mimi Leder,50000000.0,"['Action', 'Thriller']",Armin Mueller-Stahl,The Peacemaker ,"['nuclear explosion', 'nuclear weapon', 'russia', 'train', 'train crash']",R,Thriller
Jennifer Yuh Nelson,150000000.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",Angelina Jolie Pitt,Kung Fu Panda 2 ,"['china', 'kung fu', 'panda', 'peacock', 'tigress']",PG,Action
Boaz Yakin,30000000.0,"['Biography', 'Drama', 'Sport']",Ryan Gosling,Remember the Titans ,"['american football', 'based on true story', 'head coach', 'high school', 'school']",PG,Biography
Phillip Noyce,48000000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",Denzel Washington,The Bone Collector ,"['new york city', 'police', 'quadriplegic', 'serial killer', 'suicide']",R,Crime
Joe Johnston,150000000.0,"['Drama', 'Fantasy', 'Horror', 'Thriller']",Anthony Hopkins,The Wolfman ,"['asylum', 'death', 'full moon', 'transformation', 'werewolf']",R,Fantasy
Lawrence Kasdan,68000000.0,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",Morgan Freeman,Dreamcatcher ,"['alien', 'friend', 'maine', 'military', 'woods']",R,Drama
Darren Aronofsky,125000000.0,"['Action', 'Adventure', 'Drama']",Anthony Hopkins,Noah ,"['ark', 'flood', ""noah's ark"", 'water', 'wrath of god']",PG-13,Adventure
Adam Shankman,60000000.0,"['Adventure', 'Comedy', 'Family']",Taylor Lautner,Cheaper by the Dozen 2 ,"['children', 'competition', 'rival', 'second part', 'vacation']",PG,Adventure
Sydney Pollack,80000000.0,"['Crime', 'Mystery', 'Thriller']",Curtiss Cook,The Interpreter ,"['african', 'assassination', 'dialect', 'interpreter', 'threat']",PG-13,Crime
Lee Tamahori,87000000.0,"['Action', 'Adventure', 'Crime', 'Thriller']",Sunny Mabrey,xXx: State of the Union ,"[""coup d'etat"", 'mutiny', 'president', 'u.s. navy', 'washington d.c.']",PG-13,Thriller
Richard Donner,35000000.0,"['Action', 'Crime', 'Thriller']",Rene Russo,Lethal Weapon 3 ,"['gangster', 'gun', 'internal affairs', 'police', 'police officer']",R,Action
Peter Hyams,27000000.0,"['Action', 'Crime', 'Sci-Fi', 'Thriller']",Mia Sara,Timecop ,"['cop', 'corrupt politician', 'future', 'senator', 'time travel']",R,Action
J.B. Rogers,30000000.0,['Comedy'],Alyson Hannigan,American Pie 2 ,"['beach', 'beach house', 'college', 'party', 'student']",R,Comedy
Steven Spielberg,28000000.0,"['Action', 'Adventure']",Harrison Ford,Indiana Jones and the Temple of Doom ,"['children', 'studio logo segues into film', 'temple', 'village', 'white dinner jacket']",PG,Action
Stephen Hopkins,40000000.0,"['Horror', 'Thriller']",Stephen Rea,The Reaping ,"['biblical plague', 'louisiana', 'missionary', 'plague', 'small town']",R,Horror
Anthony Russo,170000000.0,"['Action', 'Adventure', 'Sci-Fi']",Scarlett Johansson,Captain America: The Winter Soldier ,"['conspiracy', 'heroism', 'megalomaniac', 'super soldier', 'world domination']",PG-13,Action
David Dobkin,50000000.0,"['Action', 'Adventure', 'Comedy']",Fann Wong,Shanghai Knights ,"['1880s', 'arrow', 'imperial seal', 'murder', 'revenge']",PG-13,Comedy
Beeban Kidron,40000000.0,"['Comedy', 'Drama', 'Romance']",Colin Firth,Bridget Jones: The Edge of Reason ,"['american actress playing british character', 'intern', 'prison', 'six word title', 'thailand']",R,Drama
Brian De Palma,80000000.0,"['Action', 'Adventure', 'Thriller']",Tom Cruise,Mission: Impossible ,"['disguise', 'mission', 'spy', 'stealing', 'traitor']",PG-13,Action
Russell Mulcahy,25000000.0,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Mystery', 'Thriller']",Jonathan Winters,The Shadow ,"['1930s', 'bomb', 'city', 'invisibility', 'the shadow']",PG-13,Action
James Wong,45000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",Ian Whyte,Dragonball: Evolution ,"['bad', 'dragon', 'grandfather', 'orb', 'warrior']",PG,Sci-Fi
Paul Weitz,100000000.0,"['Comedy', 'Romance']",Robert De Niro,Little Fockers ,"['birthday', 'critically bashed', 'male nurse', 'nurse', 'suspicion']",PG-13,Comedy
Rob Marshall,85000000.0,"['Drama', 'Romance']",Li Gong,Memoirs of a Geisha ,"['coming of age', 'geisha', 'japan', 'jealousy', 'love']",PG-13,Drama
Nick Cassavetes,40000000.0,"['Comedy', 'Romance']",Don Johnson,The Other Woman ,"['beach house', 'blonde bombshell', 'cheating husband', 'revenge', 'wife meets mistress']",PG-13,Romance
Joss Whedon,220000000.0,"['Action', 'Adventure', 'Sci-Fi']",Chris Hemsworth,The Avengers ,"['alien invasion', 'assassin', 'battle', 'iron man', 'soldier']",PG-13,Sci-Fi
Oliver Stone,55000000.0,"['Drama', 'Sport']",Al Pacino,Any Given Sunday ,"['breasts', 'coach', 'football', 'in medias res', 'vomiting']",R,Sport
James Cameron,237000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",CCH Pounder,Avatar ,"['avatar', 'future', 'marine', 'native', 'paraplegic']",PG-13,Sci-Fi
Marc Lawrence,60000000.0,"['Comedy', 'Romance']",Dorian Missick,Two Weeks Notice ,"['developer', 'divorce', 'lawyer', 'love', 'new york city']",PG-13,Romance
,1400000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",Christopher Judge,Stargate SG-1             ,"['2000s', '21st century', 'alternate history', 'message from outer space', 'military']",TV-14,Sci-Fi
J.J. Abrams,190000000.0,"['Action', 'Adventure', 'Sci-Fi']",Benedict Cumberbatch,Star Trek Into Darkness ,"['admiral', 'captain', 'manhunt', 'mission', 'space']",PG-13,Sci-Fi
Adam McKay,50000000.0,['Comedy'],Harrison Ford,Anchorman 2: The Legend Continues ,"['fame', 'father son relationship', 'interracial kiss', 'interracial relationship', 'interracial sex']",PG-13,Comedy
Don Scardino,30000000.0,['Comedy'],Steve Buscemi,The Incredible Burt Wonderstone ,"['magic', 'magic kit', 'magician', 'stage magician', 'vegas']",PG-13,Comedy
McG,65000000.0,"['Drama', 'Sport']",Matthew McConaughey,We Are Marshall ,"['coach', 'football', 'football team', 'marshall university', 'university']",PG,Drama
M. Night Shyamalan,75000000.0,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",Robin Wright,Unbreakable ,"['child with gun', 'comic book', 'invulnerability', 'superhero', 'train crash']",PG-13,Thriller
Andrew Adamson,150000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",Rupert Everett,Shrek 2 ,"['drag queen', 'physical appearance', 'princess', 'queen', 'sequel']",PG,Adventure
Evan Goldberg,44000000.0,['Comedy'],James Franco,The Interview ,"['assassination attempt', 'communist dictatorship', 'dictator', 'exploding helicopter', 'finger bitten off']",R,Comedy
Steven E. de Souza,35000000.0,"['Action', 'Adventure', 'Comedy', 'Thriller']",Ming-Na Wen,Street Fighter ,"['guile', 'hostage', 'ransom', 'soldier', 'united nations']",PG-13,Comedy
Luis Llosa,45000000.0,"['Action', 'Adventure', 'Horror', 'Thriller']",Frank Welker,Anaconda ,"['amazon', 'anaconda', 'boat', 'jungle', 'snake']",PG-13,Horror
Jean-Marie Poiré,40000000.0,"['Comedy', 'Fantasy', 'Sci-Fi']",Bridgette Wilson-Sampras,Just Visiting ,"['alternate history', 'alternate timeline', 'flatulence', 'future time travel', 'time travel comedy']",PG-13,Sci-Fi
Anthony Minghella,27000000.0,"['Drama', 'Romance', 'War']",Colin Firth,The English Patient ,"['church', 'english', 'flashback', 'nurse', 'patient']",R,War
Guillermo del Toro,190000000.0,"['Action', 'Adventure', 'Sci-Fi']",Charlie Hunnam,Pacific Rim ,"['giant monster', 'kaiju', 'pilot', 'portal', 'robot']",PG-13,Action
Stephen Herek,60000000.0,"['Comedy', 'Drama']",Kelly Preston,Holy Man ,"['1990s', 'evangelist', 'professional rivalry', 'swimming pool', 'televangelist']",PG,Drama
Andrew Niccol,50000000.0,"['Crime', 'Drama', 'Thriller']",Nicolas Cage,Lord of War ,"['1980s', 'arms dealer', 'immorality', 'ukrainian', 'warlord']",R,Drama
Anne Fletcher,30000000.0,"['Comedy', 'Romance']",Judy Greer,27 Dresses ,"['boss', 'bridesmaid', 'friend', 'love', 'wedding']",PG-13,Romance
James Mangold,117000000.0,"['Action', 'Comedy', 'Romance']",Tom Cruise,Knight and Day ,"['chase', 'fbi', 'garage', 'spy', 'surveillance']",PG-13,Comedy
Jake Kasdan,35000000.0,"['Comedy', 'Music']",Tim Meadows,Walk Hard: The Dewey Cox Story ,"['drugs', 'elvis', 'musician', 'singer', 'the beatles']",R,Comedy
Roland Emmerich,150000000.0,"['Action', 'Drama', 'Thriller']",Channing Tatum,White House Down ,"['black u.s. president', 'president', 'secret service', 'tour', 'white house']",PG-13,Action
Lana Wachowski,150000000.0,"['Action', 'Sci-Fi']",Essie Davis,The Matrix Revolutions ,"['battle', 'epic', 'fight', 'future', 'machine']",R,Sci-Fi
Gordon Chan,41000000.0,"['Action', 'Comedy', 'Fantasy']",Julian Sands,The Medallion ,"['hong kong', 'interpol', 'medallion', 'ship', 'tough cop']",PG-13,Comedy
David Soren,135000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",Ryan Reynolds,Turbo ,"['accident', 'freak accident', 'race', 'snail', 'underdog']",PG,Animation
Clint Eastwood,60000000.0,"['Biography', 'Drama', 'History', 'Sport']",Matt Damon,Invictus ,"['apartheid', 'nation', 'nelson mandela', 'president', 'rugby']",PG-13,Drama
Tim Burton,70000000.0,"['Action', 'Comedy', 'Sci-Fi']",Natalie Portman,Mars Attacks! ,"['alien', 'general', 'martian', 'president', 'weapon']",PG-13,Comedy
Christopher McQuarrie,150000000.0,"['Action', 'Adventure', 'Thriller']",Tom Cruise,Mission: Impossible - Rogue Nation ,"['capture', 'computer hacker', 'mission', 'rogue agent', 'spy']",PG-13,Thriller
John Hamburg,40000000.0,"['Comedy', 'Romance']",J.K. Simmons,"I Love You, Man ","['bromance', 'friend', 'gay brother', 'homosexual subtext', 'wedding']",R,Comedy
Joseph L. Mankiewicz,31115000.0,"['Biography', 'Drama', 'History', 'Romance']",Martin Landau,Cleopatra ,"['cleopatra', 'egypt', 'epic', 'queen', 'roman empire']",Approved,History
Martin Campbell,35000000.0,"['Adventure', 'Drama', 'Romance', 'War']",Angelina Jolie Pitt,Beyond Borders ,"['africa', 'american', 'border', 'doctor', 'well']",R,Romance
Gregory Hoblit,60000000.0,"['Drama', 'War']",Bruce Willis,Hart's War ,"['colonel', 'honor', 'lieutenant', 'pilot', 'racism']",R,War
Jimmy Hayward,55000000.0,"['Adventure', 'Animation', 'Comedy', 'Family']",Amy Poehler,Free Birds ,"['chipmunk', 'hunting dog', 'sabotage', 'thanksgiving', 'turkey the bird']",PG,Animation
Martin Brest,30000000.0,"['Action', 'Comedy', 'Crime', 'Thriller']",Robert De Niro,Midnight Run ,"['accountant', 'bounty hunter', 'fbi', 'mafia', 'mob']",R,Action
Liliana Cavani,30000000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",Ray Winstone,Ripley's Game ,"['art forgery', 'concert', 'dying', 'picture framer', 'villa']",R,Crime
Denis Villeneuve,30000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Edgar Arreola,Sicario ,"['critically acclaimed', 'drug cartel', 'juarez mexico', 'u.s. mexico border', 'war on drugs']",R,Action
Brett Ratner,58000000.0,"['Action', 'Comedy', 'Crime', 'Drama']",Salma Hayek,After the Sunset ,"['diamond', 'fbi', 'fbi agent', 'island', 'thief']",PG-13,Action
Zack Snyder,225000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Henry Cavill,Man of Steel ,"['based on comic book', 'british actor playing american character', 'final battle', 'origin of hero', 'reboot']",PG-13,Sci-Fi
Robert Zemeckis,200000000.0,"['Animation', 'Drama', 'Family', 'Fantasy']",Robin Wright,A Christmas Carol ,"['charles dickens', 'christmas', 'christmas eve', 'ghost', 'scrooge']",PG,Drama
Jon Favreau,65000000.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",Kristen Stewart,Zathura: A Space Adventure ,"['2000s', 'coke', 'meeting future self', 'reference to spongebob squarepants', 'sony']",PG,Sci-Fi
John Carpenter,40000000.0,"['Comedy', 'Romance', 'Sci-Fi', 'Thriller']",Richard Epcar,Memoirs of an Invisible Man ,"['accident', 'bar', 'chase', 'cia', 'laboratory']",PG-13,Thriller
Joss Whedon,250000000.0,"['Action', 'Adventure', 'Sci-Fi']",Chris Hemsworth,Avengers: Age of Ultron ,"['artificial intelligence', 'based on comic book', 'captain america', 'marvel cinematic universe', 'superhero']",PG-13,Action
Curtis Hanson,45000000.0,"['Action', 'Adventure', 'Crime', 'Thriller']",Meryl Streep,The River Wild ,"['criminal', 'rafting', 'river', 'robber', 'white water rafting']",PG-13,Crime
Ben Affleck,44500000.0,"['Biography', 'Drama', 'History', 'Thriller']",Clea DuVall,Argo ,"['1970s', 'cia', 'f word', 'u.s. embassy', 'year 1979']",R,Biography
Danny DeVito,35000000.0,"['Biography', 'Crime', 'Drama']",Frank Whaley,Hoffa ,"['labor', 'labor union', 'leader', 'mafia', 'union']",R,Biography
Phillip Noyce,68000000.0,"['Action', 'Adventure', 'Romance', 'Sci-Fi', 'Thriller']",Alun Armstrong,The Saint ,"['cold fusion', 'disguise', 'energy', 'fusion', 'the saint']",PG-13,Romance
Tom Reeve,32000000.0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",Joan Plowright,George and the Dragon ,"['dragon', 'knight', 'love', 'priest', 'princess']",PG,Fantasy
Bobby Farrelly,55000000.0,['Comedy'],Matt Damon,Stuck on You ,"['actor', 'conjoined twins', 'cook', 'internet', 'short order cook']",PG-13,Comedy
