director_name,budget,genres,actor_1_name,movie_title,plot_keywords,content_rating,genre_adjusted,all_keywords
Steve Pink,36000000.0,"['Comedy', 'Sci-Fi']",Charlie McDermott,Hot Tub Time Machine ,"['Steve Pink', 'Charlie McDermott', 'cheating wife', 'drug reference', 'maintenance man', 'male vomiting', 'promiscuous woman']",R,Sci-Fi,"['Steve Pink', 'Charlie McDermott', 'cheating wife', 'drug reference', 'maintenance man', 'male vomiting', 'promiscuous woman']"
Charles Martin Smith,36000000.0,"['Drama', 'Family']",Morgan Freeman,Dolphin Tale 2 ,"['Charles Martin Smith', 'Morgan Freeman', 'dolphin', 'latex gloves', 'medical scrubs', 'purple gloves', 'turtle']",PG,Family,"['Charles Martin Smith', 'Morgan Freeman', 'dolphin', 'latex gloves', 'medical scrubs', 'purple gloves', 'turtle']"
John Frankenheimer,34000000.0,"['Action', 'Adventure', 'Crime', 'Drama', 'Family', 'Fantasy', 'Romance', 'Thriller']",Charlize Theron,Reindeer Games ,"['John Frankenheimer', 'Charlize Theron', 'casino', 'christmas', 'christmas season', 'girlfriend', 'release from prison']",R,Family,"['John Frankenheimer', 'Charlize Theron', 'casino', 'christmas', 'christmas season', 'girlfriend', 'release from prison']"
F. Gary Gray,36000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Vin Diesel,A Man Apart ,"['F. Gary Gray', 'Vin Diesel', 'bust', 'dea', 'drug cartel', 'justice', 'tragic hero']",R,Action-Comedy,"['F. Gary Gray', 'Vin Diesel', 'bust', 'dea', 'drug cartel', 'justice', 'tragic hero']"
Cameron Crowe,37000000.0,"['Comedy', 'Drama', 'Romance']",Emma Stone,Aloha ,"['Cameron Crowe', 'Emma Stone', 'box office flop', 'critically bashed', 'hawaii', 'one word title', 'written by director']",PG-13,Rom-Com,"['Cameron Crowe', 'Emma Stone', 'box office flop', 'critically bashed', 'hawaii', 'one word title', 'written by director']"
Rob Reiner,36000000.0,"['Drama', 'History']",Alexa PenaVega,Ghosts of Mississippi ,"['Rob Reiner', 'Alexa PenaVega', 'activist', 'assassin', 'civil rights', 'trial', 'widow']",PG-13,History,"['Rob Reiner', 'Alexa PenaVega', 'activist', 'assassin', 'civil rights', 'trial', 'widow']"
Scott Hicks,36000000.0,"['Drama', 'Mystery', 'Romance', 'Thriller']",Rick Yune,Snow Falling on Cedars ,"['Scott Hicks', 'Rick Yune', 'fisherman', 'japanese', 'love', 'trial', 'washington state']",PG-13,Mystery,"['Scott Hicks', 'Rick Yune', 'fisherman', 'japanese', 'love', 'trial', 'washington state']"
Mikael Håfström,37000000.0,"['Drama', 'Horror', 'Mystery', 'Thriller']",Anthony Hopkins,The Rite ,"['Mikael H\xc3\xa5fstr\xc3\xb6m', 'Anthony Hopkins', 'demon', 'exorcism', 'exorcist', 'faith', 'seminary']",PG-13,Horror,"['Mikael H\xc3\xa5fstr\xc3\xb6m', 'Anthony Hopkins', 'demon', 'exorcism', 'exorcist', 'faith', 'seminary']"
Andrew Niccol,36000000.0,"['Drama', 'Sci-Fi', 'Thriller']",Blair Underwood,Gattaca ,"['Andrew Niccol', 'Blair Underwood', 'accident', 'future', 'genetics', 'mission', 'police']",PG-13,Sci-Fi,"['Andrew Niccol', 'Blair Underwood', 'accident', 'future', 'genetics', 'mission', 'police']"
Andrew Bergman,36000000.0,"['Biography', 'Comedy', 'Romance']",Stockard Channing,Isn't She Great ,"['Andrew Bergman', 'Stockard Channing', 'autistic son', 'cancer', 'female protagonist', 'new york city', 'son']",R,Biography,"['Andrew Bergman', 'Stockard Channing', 'autistic son', 'cancer', 'female protagonist', 'new york city', 'son']"
Kirk De Micco,37000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",Cheryl Hines,Space Chimps ,"['Kirk De Micco', 'Cheryl Hines', 'astronaut', 'attacked by a plant', 'planet', 'senator', 'space travel']",G,Animation,"['Kirk De Micco', 'Cheryl Hines', 'astronaut', 'attacked by a plant', 'planet', 'senator', 'space travel']"
Chris Rock,35200000.0,['Comedy'],Bernie Mac,Head of State ,"['Chris Rock', 'Bernie Mac', 'alderman', 'party', 'president', 'presidential candidate', 'washington d.c.']",PG-13,Comedy,"['Chris Rock', 'Bernie Mac', 'alderman', 'party', 'president', 'presidential candidate', 'washington d.c.']"
Todd Phillips,35000000.0,['Comedy'],Bradley Cooper,The Hangover ,"['Todd Phillips', 'Bradley Cooper', 'drunkenness', 'female nudity', 'hangover', 'hedonism', 'morning after']",R,Comedy,"['Todd Phillips', 'Bradley Cooper', 'drunkenness', 'female nudity', 'hangover', 'hedonism', 'morning after']"
Wilson Yip,36000000.0,"['Action', 'Biography', 'Drama', 'History']",Mike Tyson,Ip Man 3 ,"['Wilson Yip', 'Mike Tyson', '1950s', 'cancer', 'hong kong', 'martial arts school', 'wing chun']",PG-13,Biography,"['Wilson Yip', 'Mike Tyson', '1950s', 'cancer', 'hong kong', 'martial arts school', 'wing chun']"
Jay Roach,33000000.0,"['Action', 'Adventure', 'Comedy', 'Crime']",Muse Watson,Austin Powers: The Spy Who Shagged Me ,"['Jay Roach', 'Muse Watson', 'penis joke', 'phallic image', 'sexy agent', 'spy', 'volcano hideout']",PG-13,Rom-Com,"['Jay Roach', 'Muse Watson', 'penis joke', 'phallic image', 'sexy agent', 'spy', 'volcano hideout']"
Tim Burton,35000000.0,"['Action', 'Adventure']",Michael Gough,Batman ,"['Tim Burton', 'Michael Gough', 'city', 'dc comics', 'gotham', 'pantyhose', 'police']",PG-13,Action-Comedy,"['Tim Burton', 'Michael Gough', 'city', 'dc comics', 'gotham', 'pantyhose', 'police']"
Roland Joffé,36000000.0,"['Biography', 'Drama', 'War']",Jordi Mollà,There Be Dragons ,"['Roland Joff\xc3\xa9', 'Jordi Moll\xc3\xa0', 'dying', 'forgiveness', 'saint', 'spanish civil war', 'starts with narration']",PG-13,War,"['Roland Joff\xc3\xa9', 'Jordi Moll\xc3\xa0', 'dying', 'forgiveness', 'saint', 'spanish civil war', 'starts with narration']"
Richard Donner,35000000.0,"['Action', 'Crime', 'Thriller']",Rene Russo,Lethal Weapon 3 ,"['Richard Donner', 'Rene Russo', 'gangster', 'gun', 'internal affairs', 'police', 'police officer']",R,Action-Comedy,"['Richard Donner', 'Rene Russo', 'gangster', 'gun', 'internal affairs', 'police', 'police officer']"
John Lee Hancock,29000000.0,"['Biography', 'Drama', 'Sport']",Catherine Dyer,The Blind Side ,"['John Lee Hancock', 'Catherine Dyer', 'american football', 'based on true story', 'football star', 'high school football', 'left tackle']",PG-13,Sport,"['John Lee Hancock', 'Catherine Dyer', 'american football', 'based on true story', 'football star', 'high school football', 'left tackle']"
Robert Rodriguez,35000000.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",Alexa PenaVega,Spy Kids ,"['Robert Rodriguez', 'Alexa PenaVega', 'brother sister relationship', 'espionage', 'rescue', 'secret agent', 'spy']",PG,Family,"['Robert Rodriguez', 'Alexa PenaVega', 'brother sister relationship', 'espionage', 'rescue', 'secret agent', 'spy']"
Seth Gordon,35000000.0,"['Comedy', 'Crime']",Kevin Spacey,Horrible Bosses ,"['Seth Gordon', 'Kevin Spacey', 'black comedy', 'boss', 'chemical company', 'dental assistant', 'murder']",R,Rom-Com,"['Seth Gordon', 'Kevin Spacey', 'black comedy', 'boss', 'chemical company', 'dental assistant', 'murder']"
Ethan Coen,38000000.0,"['Adventure', 'Drama', 'Western']",Matt Damon,True Grit ,"['Ethan Coen', 'Matt Damon', 'arkansas', 'murder', 'sheriff', 'texas ranger', 'u.s. marshal']",PG-13,Western,"['Ethan Coen', 'Matt Damon', 'arkansas', 'murder', 'sheriff', 'texas ranger', 'u.s. marshal']"
David Frankel,35000000.0,"['Comedy', 'Drama', 'Romance']",Meryl Streep,The Devil Wears Prada ,"['David Frankel', 'Meryl Streep', 'fashion', 'fashion industry', 'magazine', 'new york city', 'publishing']",PG-13,Rom-Com,"['David Frankel', 'Meryl Streep', 'fashion', 'fashion industry', 'magazine', 'new york city', 'publishing']"
Robert Wise,35000000.0,"['Adventure', 'Mystery', 'Sci-Fi']",Leonard Nimoy,Star Trek: The Motion Picture ,"['Robert Wise', 'Leonard Nimoy', 'alien', 'space', 'space station', 'spacecraft', 'warp speed']",PG,Sci-Fi,"['Robert Wise', 'Leonard Nimoy', 'alien', 'space', 'space station', 'spacecraft', 'warp speed']"
Seth Gordon,35000000.0,"['Comedy', 'Crime']",Jon Favreau,Identity Thief ,"['Seth Gordon', 'Jon Favreau', 'bounty hunter', 'credit card', 'cross country', 'identity', 'police']",R,Rom-Com,"['Seth Gordon', 'Jon Favreau', 'bounty hunter', 'credit card', 'cross country', 'identity', 'police']"
Martin Scorsese,35000000.0,"['Crime', 'Thriller']",Robert De Niro,Cape Fear ,"['Martin Scorsese', 'Robert De Niro', 'lawyer', 'neo noir', 'prison', 'rapist', 'southern gothic']",R,Crime,"['Martin Scorsese', 'Robert De Niro', 'lawyer', 'neo noir', 'prison', 'rapist', 'southern gothic']"
Robert Luketic,35000000.0,"['Crime', 'Drama', 'Thriller']",Kevin Spacey,21 ,"['Robert Luketic', 'Kevin Spacey', 'based on true story', 'blackjack', 'card counting', 'gambling', 'massachusetts institute of technology']",PG-13,Crime,"['Robert Luketic', 'Kevin Spacey', 'based on true story', 'blackjack', 'card counting', 'gambling', 'massachusetts institute of technology']"
Judd Apatow,35000000.0,"['Comedy', 'Romance']",Amy Schumer,Trainwreck ,"['Judd Apatow', 'Amy Schumer', 'actress playing herself', 'actress shares first name with character', 'fired from a job', 'male nudity', 'written by star']",R,Rom-Com,"['Judd Apatow', 'Amy Schumer', 'actress playing herself', 'actress shares first name with character', 'fired from a job', 'male nudity', 'written by star']"
Kevin Rodney Sullivan,35000000.0,"['Comedy', 'Romance']",Bernie Mac,Guess Who ,"['Kevin Rodney Sullivan', 'Bernie Mac', 'argument', 'engagement', 'family relationships', 'love', 'undressing']",PG-13,Rom-Com,"['Kevin Rodney Sullivan', 'Bernie Mac', 'argument', 'engagement', 'family relationships', 'love', 'undressing']"
Anthony Minghella,27000000.0,"['Drama', 'Romance', 'War']",Colin Firth,The English Patient ,"['Anthony Minghella', 'Colin Firth', 'church', 'english', 'flashback', 'nurse', 'patient']",R,War,"['Anthony Minghella', 'Colin Firth', 'church', 'english', 'flashback', 'nurse', 'patient']"
Curtis Hanson,35000000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",Kevin Spacey,L.A. Confidential ,"['Curtis Hanson', 'Kevin Spacey', '1950s', 'call girl', 'corruption', 'murder', 'police detective']",R,Mystery,"['Curtis Hanson', 'Kevin Spacey', '1950s', 'call girl', 'corruption', 'murder', 'police detective']"
Mike Mitchell,35000000.0,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']",Michael Angarano,Sky High ,"['Mike Mitchell', 'Michael Angarano', 'coming of age', 'friend', 'high school', 'sidekick', 'superpower']",PG,Family,"['Mike Mitchell', 'Michael Angarano', 'coming of age', 'friend', 'high school', 'sidekick', 'superpower']"
Frank Oz,35000000.0,['Comedy'],Tom Selleck,In & Out ,"['Frank Oz', 'Tom Selleck', 'academy award', 'gay', 'high school', 'reporter', 'teacher']",PG-13,Comedy,"['Frank Oz', 'Tom Selleck', 'academy award', 'gay', 'high school', 'reporter', 'teacher']"
Roger Donaldson,35000000.0,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",Natasha Henstridge,Species ,"['Roger Donaldson', 'Natasha Henstridge', 'alien', 'interspecies sex', 'scientist', 'sexual attraction', 'train']",R,Horror,"['Roger Donaldson', 'Natasha Henstridge', 'alien', 'interspecies sex', 'scientist', 'sexual attraction', 'train']"
Wes Craven,1800000.0,['Horror'],Johnny Depp,A Nightmare on Elm Street ,"['Wes Craven', 'Johnny Depp', 'freddy krueger', 'lucid dream', 'serial killer', 'slasher', 'sleep deprivation']",X,Horror,"['Wes Craven', 'Johnny Depp', 'freddy krueger', 'lucid dream', 'serial killer', 'slasher', 'sleep deprivation']"
Tarsem Singh,33000000.0,"['Horror', 'Sci-Fi', 'Thriller']",Dylan Baker,The Cell ,"['Tarsem Singh', 'Dylan Baker', 'coma', 'fbi', 'race against time', 'serial killer', 'strong female lead']",R,Horror,"['Tarsem Singh', 'Dylan Baker', 'coma', 'fbi', 'race against time', 'serial killer', 'strong female lead']"
Randall Wallace,35000000.0,"['Action', 'Adventure']",Leonardo DiCaprio,The Man in the Iron Mask ,"['Randall Wallace', 'Leonardo DiCaprio', 'france', 'musketeer', 'three musketeers', 'twin', 'twin brother']",PG-13,Action-Comedy,"['Randall Wallace', 'Leonardo DiCaprio', 'france', 'musketeer', 'three musketeers', 'twin', 'twin brother']"
Randall Wallace,35000000.0,"['Biography', 'Drama', 'Family', 'History', 'Sport']",Scott Glenn,Secretariat ,"['Randall Wallace', 'Scott Glenn', 'eccentric', 'horse racing', 'newspaper clipping', 'stallion', 'triple crown']",PG,Sport,"['Randall Wallace', 'Scott Glenn', 'eccentric', 'horse racing', 'newspaper clipping', 'stallion', 'triple crown']"
Kevin Munroe,34000000.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",Chris Evans,TMNT ,"['Kevin Munroe', 'Chris Evans', 'martial arts master', 'monster', 'new york city', 'turtle', 'warrior']",PG,Animation,"['Kevin Munroe', 'Chris Evans', 'martial arts master', 'monster', 'new york city', 'turtle', 'warrior']"
Michael Tollin,35000000.0,"['Biography', 'Drama', 'Sport']",Alfre Woodard,Radio ,"['Michael Tollin', 'Alfre Woodard', 'coach', 'football', 'football coach', 'high school', 'radio']",PG,Sport,"['Michael Tollin', 'Alfre Woodard', 'coach', 'football', 'football coach', 'high school', 'radio']"
Will Gluck,35000000.0,"['Comedy', 'Romance']",Mila Kunis,Friends with Benefits ,"['Will Gluck', 'Mila Kunis', 'blow job', 'female rear nudity', 'girl in panties', 'male objectification', 'no panties']",R,Rom-Com,"['Will Gluck', 'Mila Kunis', 'blow job', 'female rear nudity', 'girl in panties', 'male objectification', 'no panties']"
Nicholas Stoller,35000000.0,['Comedy'],Chloë Grace Moretz,Neighbors 2: Sorority Rising ,"['Nicholas Stoller', 'Chlo\xc3\xab Grace Moretz', 'bare chested male', 'gay', 'gay best friend', 'gay man', 'gay marriage proposal']",R,Comedy,"['Nicholas Stoller', 'Chlo\xc3\xab Grace Moretz', 'bare chested male', 'gay', 'gay best friend', 'gay man', 'gay marriage proposal']"
John Lee Hancock,35000000.0,"['Biography', 'Comedy', 'Drama', 'History', 'Music']",Tom Hanks,Saving Mr. Banks ,"['John Lee Hancock', 'Tom Hanks', 'author', 'disney', 'loss of father', 'reference to walt disney', 'suppression of emotion']",PG-13,Biography,"['John Lee Hancock', 'Tom Hanks', 'author', 'disney', 'loss of father', 'reference to walt disney', 'suppression of emotion']"
Spike Lee,33000000.0,"['Biography', 'Drama', 'History', 'Romance']",Denzel Washington,Malcolm X ,"['Spike Lee', 'Denzel Washington', 'african american', 'black history', 'civil rights', 'ku klux klan', 'nation of islam']",PG-13,Biography,"['Spike Lee', 'Denzel Washington', 'african american', 'black history', 'civil rights', 'ku klux klan', 'nation of islam']"
Judd Apatow,35000000.0,['Comedy'],Charlyne Yi,This Is 40 ,"['Judd Apatow', 'Charlyne Yi', '40th birthday', 'aging', 'birthday', 'sex', 'viagra']",R,Comedy,"['Judd Apatow', 'Charlyne Yi', '40th birthday', 'aging', 'birthday', 'sex', 'viagra']"
Walt Becker,35000000.0,"['Comedy', 'Family']",Robin Williams,Old Dogs ,"['Walt Becker', 'Robin Williams', 'best friend', 'business deal', 'impulse', 'public relations', 'twin']",PG,Family,"['Walt Becker', 'Robin Williams', 'best friend', 'business deal', 'impulse', 'public relations', 'twin']"
Patrick Tatopoulos,35000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",Craig Parker,Underworld: Rise of the Lycans ,"['Patrick Tatopoulos', 'Craig Parker', 'battle', 'slave', 'vampire', 'warrior', 'werewolf']",R,Sci-Fi,"['Patrick Tatopoulos', 'Craig Parker', 'battle', 'slave', 'vampire', 'warrior', 'werewolf']"
Ken Kwapis,35000000.0,"['Comedy', 'Romance']",Robin Williams,License to Wed ,"['Ken Kwapis', 'Robin Williams', 'box office flop', 'church', 'kissing', 'usa', 'wedding']",PG-13,Rom-Com,"['Ken Kwapis', 'Robin Williams', 'box office flop', 'church', 'kissing', 'usa', 'wedding']"
Dennis Dugan,33000000.0,"['Comedy', 'Romance', 'Sport']",Jon Lovitz,The Benchwarmers ,"['Dennis Dugan', 'Jon Lovitz', 'baseball', 'baseball team', 'bully', 'millionaire', 'team']",PG-13,Sport,"['Dennis Dugan', 'Jon Lovitz', 'baseball', 'baseball team', 'bully', 'millionaire', 'team']"
Gary David Goldberg,30000000.0,"['Comedy', 'Romance']",Stockard Channing,Must Love Dogs ,"['Gary David Goldberg', 'Stockard Channing', 'date', 'dating', 'dog', 'love', 'teacher']",PG-13,Rom-Com,"['Gary David Goldberg', 'Stockard Channing', 'date', 'dating', 'dog', 'love', 'teacher']"
Mike Newell,35000000.0,"['Biography', 'Crime', 'Drama']",Johnny Depp,Donnie Brasco ,"['Mike Newell', 'Johnny Depp', 'fbi', 'mafia', 'money', 'racial slur', 'singer']",R,Biography,"['Mike Newell', 'Johnny Depp', 'fbi', 'mafia', 'money', 'racial slur', 'singer']"
Paul W.S. Anderson,33000000.0,"['Action', 'Horror', 'Sci-Fi']",Milla Jovovich,Resident Evil ,"['Paul W.S. Anderson', 'Milla Jovovich', 'amnesia', 'quarantine', 'special forces', 'virus', 'zombie']",R,Horror,"['Paul W.S. Anderson', 'Milla Jovovich', 'amnesia', 'quarantine', 'special forces', 'virus', 'zombie']"
Tobe Hooper,10700000.0,"['Fantasy', 'Horror']",Heather O'Rourke,Poltergeist ,"['Tobe Hooper', ""Heather O'Rourke"", 'ghost', 'haunted', 'haunting', 'house', 'paranormal investigator']",PG,Horror,"['Tobe Hooper', ""Heather O'Rourke"", 'ghost', 'haunted', 'haunting', 'house', 'paranormal investigator']"
Ethan Coen,35000000.0,"['Comedy', 'Crime', 'Thriller']",J.K. Simmons,The Ladykillers ,"['Ethan Coen', 'J.K. Simmons', 'casino', 'irony of fate', 'landlady', 'professor', 'remake']",R,Rom-Com,"['Ethan Coen', 'J.K. Simmons', 'casino', 'irony of fate', 'landlady', 'professor', 'remake']"
John Moore,35000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Mila Kunis,Max Payne ,"['John Moore', 'Mila Kunis', 'corporation', 'death', 'ex partner', 'hallucination', 'police detective']",PG-13,Mystery,"['John Moore', 'Mila Kunis', 'corporation', 'death', 'ex partner', 'hallucination', 'police detective']"
Andrew Niccol,40000000.0,"['Action', 'Sci-Fi', 'Thriller']",Matt Bomer,In Time ,"['Andrew Niccol', 'Matt Bomer', 'currency', 'future', 'murder', 'on the run', 'time']",PG-13,Sci-Fi,"['Andrew Niccol', 'Matt Bomer', 'currency', 'future', 'murder', 'on the run', 'time']"
Alan Poul,35000000.0,"['Comedy', 'Romance']",Danneel Ackles,The Back-up Plan ,"['Alan Poul', 'Danneel Ackles', 'artificial insemination', 'baby', 'cheese', 'chick flick', 'pet shop']",PG-13,Rom-Com,"['Alan Poul', 'Danneel Ackles', 'artificial insemination', 'baby', 'cheese', 'chick flick', 'pet shop']"
Luke Greenfield,35000000.0,"['Comedy', 'Drama', 'Romance']",Ashley Williams,Something Borrowed ,"['Luke Greenfield', 'Ashley Williams', 'best friend', 'crush', 'law school', 'lawyer', 'loud sex']",PG-13,Rom-Com,"['Luke Greenfield', 'Ashley Williams', 'best friend', 'crush', 'law school', 'lawyer', 'loud sex']"
,,"['Drama', 'Romance']",Jodi Lyn O'Keefe,Hit the Floor             ,"[nan, ""Jodi Lyn O'Keefe"", 'affair', 'hip hop', 'sex scene']",,Drama,"[nan, ""Jodi Lyn O'Keefe"", 'affair', 'hip hop', 'sex scene']"
Gil Junger,50000000.0,"['Adventure', 'Comedy', 'Fantasy']",Tom Wilkinson,Black Knight ,"['Gil Junger', 'Tom Wilkinson', '14th century', 'king', 'knight', 'sword duel', 'time travel']",PG-13,Rom-Com,"['Gil Junger', 'Tom Wilkinson', '14th century', 'king', 'knight', 'sword duel', 'time travel']"
Michael Ritchie,,"['Comedy', 'Drama', 'Family', 'Sport']",Tatum O'Neal,The Bad News Bears ,"['Michael Ritchie', ""Tatum O'Neal"", 'baseball', 'california', 'coach', 'little league', 'swimming pool']",PG,Sport,"['Michael Ritchie', ""Tatum O'Neal"", 'baseball', 'california', 'coach', 'little league', 'swimming pool']"
Steven E. de Souza,35000000.0,"['Action', 'Adventure', 'Comedy', 'Thriller']",Ming-Na Wen,Street Fighter ,"['Steven E. de Souza', 'Ming-Na Wen', 'guile', 'hostage', 'ransom', 'soldier', 'united nations']",PG-13,Rom-Com,"['Steven E. de Souza', 'Ming-Na Wen', 'guile', 'hostage', 'ransom', 'soldier', 'united nations']"
Roman Polanski,35000000.0,"['Biography', 'Drama', 'War']",Emilia Fox,The Pianist ,"['Roman Polanski', 'Emilia Fox', 'ghetto', 'holocaust', 'jewish', 'piano', 'warsaw ghetto']",R,War,"['Roman Polanski', 'Emilia Fox', 'ghetto', 'holocaust', 'jewish', 'piano', 'warsaw ghetto']"
Albert Hughes,35000000.0,"['Horror', 'Mystery', 'Thriller']",Johnny Depp,From Hell ,"['Albert Hughes', 'Johnny Depp', 'freemason', 'jack the ripper', 'opium', 'prostitute', 'victorian era']",R,Horror,"['Albert Hughes', 'Johnny Depp', 'freemason', 'jack the ripper', 'opium', 'prostitute', 'victorian era']"
Catherine Hardwicke,30000000.0,"['Drama', 'Family', 'Fantasy']",Keisha Castle-Hughes,The Nativity Story ,"['Catherine Hardwicke', 'Keisha Castle-Hughes', 'angel', 'bethlehem', 'journey', 'nazareth', 'virgin']",PG,Family,"['Catherine Hardwicke', 'Keisha Castle-Hughes', 'angel', 'bethlehem', 'journey', 'nazareth', 'virgin']"
Jaume Collet-Serra,30000000.0,['Horror'],Robert Ri'chard,House of Wax ,"['Jaume Collet-Serra', ""Robert Ri'chard"", 'brother sister relationship', 'group of friends', 'male nudity', 'twin', 'wax']",R,Horror,"['Jaume Collet-Serra', ""Robert Ri'chard"", 'brother sister relationship', 'group of friends', 'male nudity', 'twin', 'wax']"
Mike Nichols,27000000.0,"['Drama', 'Romance']",Natalie Portman,Closer ,"['Mike Nichols', 'Natalie Portman', 'cheating wife', 'film camera', 'hasselblad camera', 'leica camera', 'medium format camera']",R,Drama,"['Mike Nichols', 'Natalie Portman', 'cheating wife', 'film camera', 'hasselblad camera', 'leica camera', 'medium format camera']"
Clint Eastwood,35000000.0,"['Biography', 'Crime', 'Drama']",Leonardo DiCaprio,J. Edgar ,"['Clint Eastwood', 'Leonardo DiCaprio', 'agent', 'fbi', 'federal bureau of investigation', 'gay relationship', 'secret']",R,Biography,"['Clint Eastwood', 'Leonardo DiCaprio', 'agent', 'fbi', 'federal bureau of investigation', 'gay relationship', 'secret']"
Alexandre Aja,35000000.0,"['Horror', 'Mystery']",Jason Flemyng,Mirrors ,"['Alexandre Aja', 'Jason Flemyng', 'estranged wife', 'evil', 'fire', 'medication', 'mirror']",R,Horror,"['Alexandre Aja', 'Jason Flemyng', 'estranged wife', 'evil', 'fire', 'medication', 'mirror']"
Michael Rymer,35000000.0,"['Drama', 'Fantasy', 'Horror']",Aaliyah,Queen of the Damned ,"['Michael Rymer', 'Aaliyah', 'fatal attraction', 'interspecies romance', 'queen', 'supernatural power', 'vampire']",R,Horror,"['Michael Rymer', 'Aaliyah', 'fatal attraction', 'interspecies romance', 'queen', 'supernatural power', 'vampire']"
Stephen Hopkins,35000000.0,"['Action', 'Horror', 'Sci-Fi']",Adam Baldwin,Predator 2 ,"['Stephen Hopkins', 'Adam Baldwin', 'alien', 'drug lord', 'gang', 'hunter', 'predator']",R,Horror,"['Stephen Hopkins', 'Adam Baldwin', 'alien', 'drug lord', 'gang', 'hunter', 'predator']"
Gregory Hoblit,35000000.0,"['Crime', 'Drama', 'Thriller']",Billy Burke,Untraceable ,"['Gregory Hoblit', 'Billy Burke', 'cat', 'fbi agent', 'murder', 'serial killer', 'website']",R,Crime,"['Gregory Hoblit', 'Billy Burke', 'cat', 'fbi agent', 'murder', 'serial killer', 'website']"
Hugh Wilson,35000000.0,"['Comedy', 'Drama', 'Romance', 'Sci-Fi']",Brendan Fraser,Blast from the Past ,"['Hugh Wilson', 'Brendan Fraser', '1960s', 'bomb shelter', 'cuban missile crisis', 'food', 'naive man']",PG-13,Sci-Fi,"['Hugh Wilson', 'Brendan Fraser', '1960s', 'bomb shelter', 'cuban missile crisis', 'food', 'naive man']"
Mike Hodges,20000000.0,"['Action', 'Adventure', 'Sci-Fi']",Brian Blessed,Flash Gordon ,"['Mike Hodges', 'Brian Blessed', 'american football', 'cult film', 'emperor', 'flash gordon', 'mind reading']",PG,Sci-Fi,"['Mike Hodges', 'Brian Blessed', 'american football', 'cult film', 'emperor', 'flash gordon', 'mind reading']"
Kevin Smith,35000000.0,"['Comedy', 'Drama', 'Romance']",Stephen Root,Jersey Girl ,"['Kevin Smith', 'Stephen Root', 'baby', 'childbirth', 'death', 'karma', 'publicist']",PG-13,Rom-Com,"['Kevin Smith', 'Stephen Root', 'baby', 'childbirth', 'death', 'karma', 'publicist']"
Rob Cohen,35000000.0,"['Action', 'Crime', 'Mystery', 'Thriller']",Cicely Tyson,Alex Cross ,"['Rob Cohen', 'Cicely Tyson', 'assassin', 'detective', 'partner', 'police', 'serial killer']",PG-13,Mystery,"['Rob Cohen', 'Cicely Tyson', 'assassin', 'detective', 'partner', 'police', 'serial killer']"
Clint Eastwood,30000000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",Kevin Spacey,Midnight in the Garden of Good and Evil ,"['Clint Eastwood', 'Kevin Spacey', 'graveyard', 'murder', 'murder trial', 'reporter', 'trial']",R,Mystery,"['Clint Eastwood', 'Kevin Spacey', 'graveyard', 'murder', 'murder trial', 'reporter', 'trial']"
Scott Mann,19000000.0,"['Action', 'Crime', 'Thriller']",Robert De Niro,Heist ,"['Scott Mann', 'Robert De Niro', 'bus', 'die hard scenario']",R,Action-Comedy,"['Scott Mann', 'Robert De Niro', 'bus', 'die hard scenario']"
Susanna White,35000000.0,"['Comedy', 'Family', 'Fantasy']",Daniel Mays,Nanny McPhee Returns ,"['Susanna White', 'Daniel Mays', 'farm', 'magic', 'mother daughter relationship', 'overalls', 'title directed by female']",PG,Family,"['Susanna White', 'Daniel Mays', 'farm', 'magic', 'mother daughter relationship', 'overalls', 'title directed by female']"
Danny DeVito,35000000.0,"['Biography', 'Crime', 'Drama']",Frank Whaley,Hoffa ,"['Danny DeVito', 'Frank Whaley', 'labor', 'labor union', 'leader', 'mafia', 'union']",R,Biography,"['Danny DeVito', 'Frank Whaley', 'labor', 'labor union', 'leader', 'mafia', 'union']"
Chris Carter,30000000.0,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",Mitch Pileggi,The X Files: I Want to Believe ,"['Chris Carter', 'Mitch Pileggi', 'fbi', 'priest', 'psychic', 'psychic vision', 'staff physician']",PG-13,Sci-Fi,"['Chris Carter', 'Mitch Pileggi', 'fbi', 'priest', 'psychic', 'psychic vision', 'staff physician']"
Tommy O'Haver,35000000.0,"['Comedy', 'Family', 'Fantasy', 'Romance']",Anne Hathaway,Ella Enchanted ,"[""Tommy O'Haver"", 'Anne Hathaway', 'curse', 'fairy', 'obedience', 'prince', 'strong female character']",PG,Family,"[""Tommy O'Haver"", 'Anne Hathaway', 'curse', 'fairy', 'obedience', 'prince', 'strong female character']"
