director_name,budget,genres,actor_1_name,movie_title,plot_keywords,content_rating,genre_adjusted,log_budget,all_keywords
Antoine Fuqua,30000000.0,"['Action', 'Crime', 'Thriller']",Mira Sorvino,The Replacement Killers ,"['forger', 'hitman', 'passport', 'police', 'replacement']",R,Action-Comedy,17.2167079396,"['Antoine Fuqua', 'Mira Sorvino', 'forger', 'hitman', 'passport', 'police', 'replacement']"
Pierre Morel,40000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Ray Winstone,The Gunman ,"['assassination', 'blood vomiting', 'death', 'hit squad', 'mercenary']",R,Mystery,17.5043900121,"['Pierre Morel', 'Ray Winstone', 'assassination', 'blood', 'vomiting', 'death', 'hit', 'squad', 'mercenary']"
Scott Hicks,31000000.0,"['Drama', 'Mystery']",Anthony Hopkins,Hearts in Atlantis ,"['based on multiple works', 'bully', 'kiss', 'memory', 'mysterious stranger']",PG-13,Mystery,17.2494977624,"['Scott Hicks', 'Anthony Hopkins', 'based', 'on', 'multiple', 'works', 'bully', 'kiss', 'memory', 'mysterious', 'stranger']"
Nanette Burstein,32000000.0,"['Comedy', 'Romance']",Rob Riggle,Going the Distance ,"['bar', 'job', 'long distance relationship', 'male pubic hair', 'pubic hair']",R,Rom-Com,17.2812464608,"['Nanette Burstein', 'Rob Riggle', 'bar', 'job', 'long', 'distance', 'relationship', 'male', 'pubic', 'hair', 'pubic', 'hair']"
Jean-Marie Poiré,40000000.0,"['Comedy', 'Fantasy', 'Sci-Fi']",Bridgette Wilson-Sampras,Just Visiting ,"['alternate history', 'alternate timeline', 'flatulence', 'future time travel', 'time travel comedy']",PG-13,Sci-Fi,17.5043900121,"['Jean-Marie Poir\xc3\xa9', 'Bridgette Wilson-Sampras', 'alternate', 'history', 'alternate', 'timeline', 'flatulence', 'future', 'time', 'travel', 'time', 'travel', 'comedy']"
Edward Zwick,140000000.0,"['Action', 'Drama', 'History', 'War']",Tom Cruise,The Last Samurai ,"['captain', 'emperor', 'honor', 'japan', 'samurai']",R,War,18.7571529806,"['Edward Zwick', 'Tom Cruise', 'captain', 'emperor', 'honor', 'japan', 'samurai']"
Shekhar Kapur,55000000.0,"['Biography', 'Drama', 'History', 'War']",Eddie Redmayne,Elizabeth: The Golden Age ,"['court', 'intrigue', 'queen', 'spain', 'virgin']",PG-13,War,17.8228437432,"['Shekhar Kapur', 'Eddie Redmayne', 'court', 'intrigue', 'queen', 'spain', 'virgin']"
David Fincher,48000000.0,"['Crime', 'Drama', 'Thriller']",Kristen Stewart,Panic Room ,"['brownstone', 'burglar', 'money', 'panic', 'panic room']",R,Crime,17.6867115689,"['David Fincher', 'Kristen Stewart', 'brownstone', 'burglar', 'money', 'panic', 'panic', 'room']"
Steven Spielberg,100000000.0,"['Adventure', 'Drama', 'Sci-Fi']",Haley Joel Osment,A.I. Artificial Intelligence ,"['affection', 'boy', 'fairy', 'future', 'robot']",PG-13,Sci-Fi,18.420680744,"['Steven Spielberg', 'Haley Joel Osment', 'affection', 'boy', 'fairy', 'future', 'robot']"
Tim Burton,150000000.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Johnny Depp,Charlie and the Chocolate Factory ,"['chocolate', 'diminution', 'miniaturization', 'physical flexability', 'ticket']",PG,Family,18.8261458521,"['Tim Burton', 'Johnny Depp', 'chocolate', 'diminution', 'miniaturization', 'physical', 'flexability', 'ticket']"
Ruben Fleischer,28000000.0,"['Action', 'Comedy', 'Crime']",Bianca Kajlich,30 Minutes or Less ,"['bank heist', 'bank robbery', 'heist gone wrong', 'pizza delivery boy', 'unlikely criminal']",R,Rom-Com,17.1477150681,"['Ruben Fleischer', 'Bianca Kajlich', 'bank', 'heist', 'bank', 'robbery', 'heist', 'gone', 'wrong', 'pizza', 'delivery', 'boy', 'unlikely', 'criminal']"
George Tillman Jr.,32000000.0,"['Biography', 'Drama']",Robert De Niro,Men of Honor ,"['african american', 'amputee', 'navy', 'racial discrimination', 'racism']",R,Biography,17.2812464608,"['George Tillman Jr.', 'Robert De Niro', 'african', 'american', 'amputee', 'navy', 'racial', 'discrimination', 'racism']"
Carl Franklin,30000000.0,['Drama'],Meryl Streep,One True Thing ,"['cancer', 'job', 'love', 'new york', 'professor']",R,Drama,17.2167079396,"['Carl Franklin', 'Meryl Streep', 'cancer', 'job', 'love', 'new', 'york', 'professor']"
James L. Brooks,50000000.0,"['Comedy', 'Drama', 'Romance']",Lupe Ontiveros,As Good as It Gets ,"['dog', 'friendship', 'neighbor', 'unlikely friendship', 'writer']",PG-13,Rom-Com,17.7275335634,"['James L. Brooks', 'Lupe Ontiveros', 'dog', 'friendship', 'neighbor', 'unlikely', 'friendship', 'writer']"
Barry Cook,80000000.0,"['Adventure', 'Animation', 'Family']",Charlie Rowe,Walking with Dinosaurs 3D ,"['brother', 'dinosaur', 'head butt', 'hero', 'orphan']",PG,Animation,18.1975371926,"['Barry Cook', 'Charlie Rowe', 'brother', 'dinosaur', 'head', 'butt', 'hero', 'orphan']"
Russell Mulcahy,25000000.0,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Mystery', 'Thriller']",Jonathan Winters,The Shadow ,"['1930s', 'bomb', 'city', 'invisibility', 'the shadow']",PG-13,Mystery,17.0343863828,"['Russell Mulcahy', 'Jonathan Winters', '1930s', 'bomb', 'city', 'invisibility', 'the', 'shadow']"
Ridley Scott,130000000.0,"['Adventure', 'Mystery', 'Sci-Fi']",Michael Fassbender,Prometheus ,"['cave painting', 'medical scanner', 'planet', 'pregnant with an alien fetus', 'suspended animation']",R,Sci-Fi,18.6830450084,"['Ridley Scott', 'Michael Fassbender', 'cave', 'painting', 'medical', 'scanner', 'planet', 'pregnant', 'with', 'an', 'alien', 'fetus', 'suspended', 'animation']"
Peter Hyams,52000000.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",David Oyelowo,A Sound of Thunder ,"['butterfly', 'hunter', 'time', 'time travel', 'wave']",PG-13,Horror,17.7667542765,"['Peter Hyams', 'David Oyelowo', 'butterfly', 'hunter', 'time', 'time', 'travel', 'wave']"
Jim Sheridan,40000000.0,"['Biography', 'Crime', 'Drama', 'Music']",50 Cent,Get Rich or Die Tryin' ,"['male frontal nudity', 'male pubic hair', 'prison', 'pubic hair', 'violence']",R,Biography,17.5043900121,"['Jim Sheridan', '50 Cent', 'male', 'frontal', 'nudity', 'male', 'pubic', 'hair', 'prison', 'pubic', 'hair', 'violence']"
Quentin Tarantino,30000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Vivica A. Fox,Kill Bill: Vol. 2 ,"['assassin', 'assassination', 'bride', 'death', 'vengeance']",R,Action-Comedy,17.2167079396,"['Quentin Tarantino', 'Vivica A. Fox', 'assassin', 'assassination', 'bride', 'death', 'vengeance']"
David Ayer,175000000.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",Will Smith,Suicide Squad ,"['based on comic book', 'critically bashed', 'father daughter relationship', 'reference to superman', 'super villain']",PG-13,Sci-Fi,18.9802965319,"['David Ayer', 'Will Smith', 'based', 'on', 'comic', 'book', 'critically', 'bashed', 'father', 'daughter', 'relationship', 'reference', 'to', 'superman', 'super', 'villain']"
Bryan Singer,209000000.0,"['Action', 'Adventure', 'Sci-Fi']",Kevin Spacey,Superman Returns ,"['crystal', 'epic', 'lex luthor', 'lois lane', 'return to earth']",PG-13,Sci-Fi,19.1578448099,"['Bryan Singer', 'Kevin Spacey', 'crystal', 'epic', 'lex', 'luthor', 'lois', 'lane', 'return', 'to', 'earth']"
Tom Hooper,61000000.0,"['Drama', 'Musical', 'Romance']",Hugh Jackman,Les Misérables ,"['barricade', 'innkeeper', 'parole', 'rebellion', 'student']",PG-13,Musical,17.9263844221,"['Tom Hooper', 'Hugh Jackman', 'barricade', 'innkeeper', 'parole', 'rebellion', 'student']"
James Mangold,55000000.0,"['Adventure', 'Crime', 'Drama', 'Western']",Christian Bale,3:10 to Yuma ,"['outlaw', 'rancher', 'small western town', 'stagecoach', 'train']",R,Western,17.8228437432,"['James Mangold', 'Christian Bale', 'outlaw', 'rancher', 'small', 'western', 'town', 'stagecoach', 'train']"
Sam Raimi,32000000.0,"['Action', 'Thriller', 'Western']",Leonardo DiCaprio,The Quick and the Dead ,"['authority figure as villian', 'gun duel', 'saved from hanging', 'showdown', 'street shootout']",R,Western,17.2812464608,"['Sam Raimi', 'Leonardo DiCaprio', 'authority', 'figure', 'as', 'villian', 'gun', 'duel', 'saved', 'from', 'hanging', 'showdown', 'street', 'shootout']"
Jim Gillespie,55000000.0,"['Crime', 'Horror', 'Mystery', 'Thriller']",Sylvester Stallone,Eye See You ,"['drill in the eye', 'eye gouging', 'hanged woman', 'murder', 'peep hole']",R,Horror,17.8228437432,"['Jim Gillespie', 'Sylvester Stallone', 'drill', 'in', 'the', 'eye', 'eye', 'gouging', 'hanged', 'woman', 'murder', 'peep', 'hole']"
Tony Scott,60000000.0,"['Action', 'Drama', 'Sport']",Tom Cruise,Days of Thunder ,"['driver', 'hot shot', 'racing', 'stock car driver', 'team']",PG-13,Sport,17.9098551202,"['Tony Scott', 'Tom Cruise', 'driver', 'hot', 'shot', 'racing', 'stock', 'car', 'driver', 'team']"
Kenneth Branagh,150000000.0,"['Action', 'Adventure', 'Fantasy']",Chris Hemsworth,Thor ,"['battle', 'marvel cinematic universe', 'scientist', 'thor', 'throne']",PG-13,Action-Comedy,18.8261458521,"['Kenneth Branagh', 'Chris Hemsworth', 'battle', 'marvel', 'cinematic', 'universe', 'scientist', 'thor', 'throne']"
Shane Acker,30000000.0,"['Action', 'Adventure', 'Animation', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",Martin Landau,9 ,"['hope', 'key', 'machine', 'number', 'rag doll']",PG-13,Animation,17.2167079396,"['Shane Acker', 'Martin Landau', 'hope', 'key', 'machine', 'number', 'rag', 'doll']"
Niki Caro,35000000.0,['Drama'],Jeremy Renner,North Country ,"['based on true story', 'innocence', 'lawsuit', 'mine', 'sexual harassment']",R,Drama,17.3708586195,"['Niki Caro', 'Jeremy Renner', 'based', 'on', 'true', 'story', 'innocence', 'lawsuit', 'mine', 'sexual', 'harassment']"
Jonathan Mostow,200000000.0,"['Action', 'Sci-Fi']",Nick Stahl,Terminator 3: Rise of the Machines ,"['drifter', 'exploding truck', 'future', 'machine', 'skynet']",R,Sci-Fi,19.1138279245,"['Jonathan Mostow', 'Nick Stahl', 'drifter', 'exploding', 'truck', 'future', 'machine', 'skynet']"
Neil Burger,85000000.0,"['Adventure', 'Mystery', 'Sci-Fi']",Kate Winslet,Divergent ,"['army', 'brother sister relationship', 'dystopia', 'father son relationship', 'narrated by character']",PG-13,Sci-Fi,18.2581618145,"['Neil Burger', 'Kate Winslet', 'army', 'brother', 'sister', 'relationship', 'dystopia', 'father', 'son', 'relationship', 'narrated', 'by', 'character']"
Michael Apted,155000000.0,"['Adventure', 'Family', 'Fantasy']",Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,"['dragon', 'king', 'mouse', 'quest', 'warrior']",PG,Family,18.8589356749,"['Michael Apted', 'Bruce Spence', 'dragon', 'king', 'mouse', 'quest', 'warrior']"
Danny Boyle,50000000.0,"['Adventure', 'Drama', 'Thriller']",Leonardo DiCaprio,The Beach ,"['love', 'map', 'paradise', 'thailand', 'travel']",R,Adventure,17.7275335634,"['Danny Boyle', 'Leonardo DiCaprio', 'love', 'map', 'paradise', 'thailand', 'travel']"
Gregory Hoblit,60000000.0,"['Drama', 'War']",Bruce Willis,Hart's War ,"['colonel', 'honor', 'lieutenant', 'pilot', 'racism']",R,War,17.9098551202,"['Gregory Hoblit', 'Bruce Willis', 'colonel', 'honor', 'lieutenant', 'pilot', 'racism']"
Cameron Crowe,57000000.0,"['Comedy', 'Drama', 'Romance']",Orlando Bloom,Elizabethtown ,"['flight', 'flight attendant', 'kentucky', 'shoes', 'travel']",PG-13,Rom-Com,17.8585618258,"['Cameron Crowe', 'Orlando Bloom', 'flight', 'flight', 'attendant', 'kentucky', 'shoes', 'travel']"
Mark Pellington,32000000.0,"['Drama', 'Horror', 'Mystery', 'Thriller']",Debra Messing,The Mothman Prophecies ,"['car accident', 'death of wife', 'mothman', 'point pleasant west virginia', 'urban legend']",PG-13,Horror,17.2812464608,"['Mark Pellington', 'Debra Messing', 'car', 'accident', 'death', 'of', 'wife', 'mothman', 'point', 'pleasant', 'west', 'virginia', 'urban', 'legend']"
Mark Neveldine,57000000.0,"['Action', 'Fantasy', 'Thriller']",Nicolas Cage,Ghost Rider: Spirit of Vengeance ,"['deal with the devil', 'devil', 'eastern europe', 'ghost rider', 'monk']",PG-13,Action-Comedy,17.8585618258,"['Mark Neveldine', 'Nicolas Cage', 'deal', 'with', 'the', 'devil', 'devil', 'eastern', 'europe', 'ghost', 'rider', 'monk']"
Hyung-rae Shim,35000000.0,"['Action', 'Drama', 'Fantasy', 'Horror', 'Thriller']",Robert Forster,Dragon Wars: D-War ,"['antique shop', 'asian dragon', 'dragon', 'korean', 'reporter']",PG-13,Horror,17.3708586195,"['Hyung-rae Shim', 'Robert Forster', 'antique', 'shop', 'asian', 'dragon', 'dragon', 'korean', 'reporter']"
Iain Softley,60000000.0,"['Adventure', 'Family', 'Fantasy']",Brendan Fraser,Inkheart ,"['book', 'escape', 'girl', 'overalls', 'villain']",PG,Family,17.9098551202,"['Iain Softley', 'Brendan Fraser', 'book', 'escape', 'girl', 'overalls', 'villain']"
Cal Brunker,40000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",Brendan Fraser,Escape from Planet Earth ,"['alien', 'cult film', 'mission control', 'product placement', 'rescue']",PG,Animation,17.5043900121,"['Cal Brunker', 'Brendan Fraser', 'alien', 'cult', 'film', 'mission', 'control', 'product', 'placement', 'rescue']"
Kevin Smith,35000000.0,"['Comedy', 'Drama', 'Romance']",Stephen Root,Jersey Girl ,"['baby', 'childbirth', 'death', 'karma', 'publicist']",PG-13,Rom-Com,17.3708586195,"['Kevin Smith', 'Stephen Root', 'baby', 'childbirth', 'death', 'karma', 'publicist']"
Guillermo del Toro,66000000.0,"['Action', 'Fantasy', 'Horror', 'Sci-Fi']",James Babson,Hellboy ,"['assassin', 'demon', 'hero', 'nazi', 'superhero']",PG-13,Horror,18.0051653,"['Guillermo del Toro', 'James Babson', 'assassin', 'demon', 'hero', 'nazi', 'superhero']"
Oliver Hirschbiegel,80000000.0,"['Sci-Fi', 'Thriller']",Roger Rees,The Invasion ,"['alien', 'epidemic', 'psychiatrist', 'space shuttle', 'virus']",PG-13,Sci-Fi,18.1975371926,"['Oliver Hirschbiegel', 'Roger Rees', 'alien', 'epidemic', 'psychiatrist', 'space', 'shuttle', 'virus']"
Jaume Collet-Serra,50000000.0,"['Action', 'Mystery', 'Thriller']",Liam Neeson,Non-Stop ,"['air marshal', 'death', 'passenger', 'terrorist', 'transatlantic flight']",PG-13,Mystery,17.7275335634,"['Jaume Collet-Serra', 'Liam Neeson', 'air', 'marshal', 'death', 'passenger', 'terrorist', 'transatlantic', 'flight']"
Paul Weitz,100000000.0,"['Comedy', 'Romance']",Robert De Niro,Little Fockers ,"['birthday', 'critically bashed', 'male nurse', 'nurse', 'suspicion']",PG-13,Rom-Com,18.420680744,"['Paul Weitz', 'Robert De Niro', 'birthday', 'critically', 'bashed', 'male', 'nurse', 'nurse', 'suspicion']"
David Fincher,33000000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",Morgan Freeman,Se7en ,"['detective', 'police partner', 'serial killer', 'serial murder', 'seven deadly sins']",R,Mystery,17.3120181194,"['David Fincher', 'Morgan Freeman', 'detective', 'police', 'partner', 'serial', 'killer', 'serial', 'murder', 'seven', 'deadly', 'sins']"
Gary Winick,30000000.0,"['Comedy', 'Romance']",Anne Hathaway,Bride Wars ,"['best friend', 'dyed hair', 'fake tan', 'rivalry', 'wedding']",PG,Rom-Com,17.2167079396,"['Gary Winick', 'Anne Hathaway', 'best', 'friend', 'dyed', 'hair', 'fake', 'tan', 'rivalry', 'wedding']"
Joss Whedon,220000000.0,"['Action', 'Adventure', 'Sci-Fi']",Chris Hemsworth,The Avengers ,"['alien invasion', 'assassin', 'battle', 'iron man', 'soldier']",PG-13,Sci-Fi,19.2091381043,"['Joss Whedon', 'Chris Hemsworth', 'alien', 'invasion', 'assassin', 'battle', 'iron', 'man', 'soldier']"
Michael Caton-Jones,70000000.0,"['Crime', 'Mystery', 'Thriller']",Charlotte Rampling,Basic Instinct 2 ,"['drugs', 'murder', 'psychiatrist', 'scotland yard', 'sex']",R,Mystery,18.0640058,"['Michael Caton-Jones', 'Charlotte Rampling', 'drugs', 'murder', 'psychiatrist', 'scotland', 'yard', 'sex']"
Nimród Antal,40000000.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Topher Grace,Predators ,"['kicked in the face', 'martial arts', 'punched in the face', 'strong female character', 'woman punching a man']",R,Sci-Fi,17.5043900121,"['Nimr\xc3\xb3d Antal', 'Topher Grace', 'kicked', 'in', 'the', 'face', 'martial', 'arts', 'punched', 'in', 'the', 'face', 'strong', 'female', 'character', 'woman', 'punching', 'a', 'man']"
Peter Berg,40000000.0,"['Action', 'Biography', 'Drama', 'Thriller', 'War']",Jerry Ferrara,Lone Survivor ,"['courage', 'navy seal', 'outnumbered', 'shot multiple times', 'survival']",R,War,17.5043900121,"['Peter Berg', 'Jerry Ferrara', 'courage', 'navy', 'seal', 'outnumbered', 'shot', 'multiple', 'times', 'survival']"
Shawn Levy,55000000.0,"['Comedy', 'Crime', 'Romance', 'Thriller']",Mila Kunis,Date Night ,"['city', 'new york city', 'night', 'reservation', 'restaurant']",PG-13,Rom-Com,17.8228437432,"['Shawn Levy', 'Mila Kunis', 'city', 'new', 'york', 'city', 'night', 'reservation', 'restaurant']"
Peyton Reed,70000000.0,"['Comedy', 'Romance']",Bradley Cooper,Yes Man ,"['best friend', 'dvd', 'girlfriend', 'loan', 'self help']",PG-13,Rom-Com,18.0640058,"['Peyton Reed', 'Bradley Cooper', 'best', 'friend', 'dvd', 'girlfriend', 'loan', 'self', 'help']"
Wilson Yip,36000000.0,"['Action', 'Biography', 'Drama', 'History']",Mike Tyson,Ip Man 3 ,"['1950s', 'cancer', 'hong kong', 'martial arts school', 'wing chun']",PG-13,Biography,17.3990294964,"['Wilson Yip', 'Mike Tyson', '1950s', 'cancer', 'hong', 'kong', 'martial', 'arts', 'school', 'wing', 'chun']"
Richard Donner,52000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Bruce Willis,16 Blocks ,"['alcoholic', 'courthouse', 'detective', 'jail', 'witness']",PG-13,Action-Comedy,17.7667542765,"['Richard Donner', 'Bruce Willis', 'alcoholic', 'courthouse', 'detective', 'jail', 'witness']"
Genndy Tartakovsky,80000000.0,"['Animation', 'Comedy', 'Family', 'Fantasy']",Steve Buscemi,Hotel Transylvania 2 ,"['california', 'dracula', 'hotel', 'transylvania', 'vampire']",PG,Animation,18.1975371926,"['Genndy Tartakovsky', 'Steve Buscemi', 'california', 'dracula', 'hotel', 'transylvania', 'vampire']"
Wes Ball,61000000.0,"['Action', 'Sci-Fi', 'Thriller']",Ki Hong Lee,The Scorch Trials ,"['desert', 'disease', 'escape', 'resistance', 'virus']",PG-13,Sci-Fi,17.9263844221,"['Wes Ball', 'Ki Hong Lee', 'desert', 'disease', 'escape', 'resistance', 'virus']"
Gil Kenan,55000000.0,"['Adventure', 'Family', 'Fantasy', 'Sci-Fi']",Bill Murray,City of Ember ,"['box', 'food', 'mayor', 'pipeworks', 'scientist']",PG,Family,17.8228437432,"['Gil Kenan', 'Bill Murray', 'box', 'food', 'mayor', 'pipeworks', 'scientist']"
Steven Spielberg,48000000.0,"['Action', 'Adventure', 'Fantasy']",Harrison Ford,Indiana Jones and the Last Crusade ,"['castle', 'diary', 'holy grail', 'map', 'nazi']",PG-13,Action-Comedy,17.6867115689,"['Steven Spielberg', 'Harrison Ford', 'castle', 'diary', 'holy', 'grail', 'map', 'nazi']"
D.J. Caruso,60000000.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Alex Pettyfer,I Am Number Four ,"['based on young adult novel', 'good versus evil', 'guardian', 'human alien', 'ohio']",PG-13,Sci-Fi,17.9098551202,"['D.J. Caruso', 'Alex Pettyfer', 'based', 'on', 'young', 'adult', 'novel', 'good', 'versus', 'evil', 'guardian', 'human', 'alien', 'ohio']"
J.J. Abrams,50000000.0,"['Mystery', 'Sci-Fi', 'Thriller']",Joel Courtney,Super 8 ,"['deputy', 'group of friends', 'time', 'train', 'train crash']",PG-13,Sci-Fi,17.7275335634,"['J.J. Abrams', 'Joel Courtney', 'deputy', 'group', 'of', 'friends', 'time', 'train', 'train', 'crash']"
Norman Jewison,38000000.0,"['Biography', 'Drama', 'Sport']",Denzel Washington,The Hurricane ,"['african american', 'book', 'boxer', 'boxing', 'murder']",R,Sport,17.4530967177,"['Norman Jewison', 'Denzel Washington', 'african', 'american', 'book', 'boxer', 'boxing', 'murder']"
Oliver Stone,63000000.0,"['Drama', 'History', 'Thriller']",Nicolas Cage,World Trade Center ,"['based on true story', 'police', 'rescue', 'rubble', 'trapped']",PG-13,History,17.9586452844,"['Oliver Stone', 'Nicolas Cage', 'based', 'on', 'true', 'story', 'police', 'rescue', 'rubble', 'trapped']"
Roger Donaldson,80000000.0,"['Drama', 'History', 'Thriller']",Bruce Greenwood,Thirteen Days ,"['blockade', 'crisis', 'cuba', 'missile', 'president']",PG-13,History,18.1975371926,"['Roger Donaldson', 'Bruce Greenwood', 'blockade', 'crisis', 'cuba', 'missile', 'president']"
Jon Turteltaub,55000000.0,"['Drama', 'Thriller']",Anthony Hopkins,Instinct ,"['africa', 'anthropologist', 'murder', 'poacher', 'psychiatrist']",R,Drama,17.8228437432,"['Jon Turteltaub', 'Anthony Hopkins', 'africa', 'anthropologist', 'murder', 'poacher', 'psychiatrist']"
Frank Darabont,72000000.0,"['Drama', 'Romance']",Martin Landau,The Majestic ,"['amnesia', 'california', 'communist', 'small town', 'writer']",PG,Drama,18.092176677,"['Frank Darabont', 'Martin Landau', 'amnesia', 'california', 'communist', 'small', 'town', 'writer']"
Sam Raimi,215000000.0,"['Adventure', 'Family', 'Fantasy']",Tim Holmes,Oz the Great and Powerful ,"['circus', 'magic', 'magician', 'oz', 'witch']",PG,Family,19.1861485861,"['Sam Raimi', 'Tim Holmes', 'circus', 'magic', 'magician', 'oz', 'witch']"
Larry Charles,65000000.0,"['Comedy', 'Romance']",Sayed Badreya,The Dictator ,"['dictator', 'hotel', 'oil', 'overalls', 'sunglasses']",R,Rom-Com,17.9898978279,"['Larry Charles', 'Sayed Badreya', 'dictator', 'hotel', 'oil', 'overalls', 'sunglasses']"
Daniel Espinosa,85000000.0,"['Action', 'Crime', 'Mystery', 'Thriller']",Denzel Washington,Safe House ,"['cia', 'cia agent', 'consulate', 'on the run', 'safe house']",R,Mystery,18.2581618145,"['Daniel Espinosa', 'Denzel Washington', 'cia', 'cia', 'agent', 'consulate', 'on', 'the', 'run', 'safe', 'house']"
Roger Spottiswoode,110000000.0,"['Action', 'Adventure', 'Thriller']",Vincent Schiavelli,Tomorrow Never Dies ,"['ex boyfriend ex girlfriend relationship', 'media tycoon', 'megalomaniac', 'official james bond series', 'world war three']",PG-13,Action-Comedy,18.5159909238,"['Roger Spottiswoode', 'Vincent Schiavelli', 'ex', 'boyfriend', 'ex', 'girlfriend', 'relationship', 'media', 'tycoon', 'megalomaniac', 'official', 'james', 'bond', 'series', 'world', 'war', 'three']"
Steve Hickner,150000000.0,"['Adventure', 'Animation', 'Comedy', 'Family']",Matthew Broderick,Bee Movie ,"['bee', 'dream sequence', 'egg', 'scatological humor', 'squashed bug']",PG,Animation,18.8261458521,"['Steve Hickner', 'Matthew Broderick', 'bee', 'dream', 'sequence', 'egg', 'scatological', 'humor', 'squashed', 'bug']"
Wolfgang Petersen,160000000.0,"['Action', 'Adventure', 'Drama', 'Thriller']",Jimmy Bennett,Poseidon ,"['cruise', 'escape', 'ocean', 'passenger', 'water']",PG-13,Action-Comedy,18.8906843732,"['Wolfgang Petersen', 'Jimmy Bennett', 'cruise', 'escape', 'ocean', 'passenger', 'water']"
Steven Spielberg,66000000.0,"['Drama', 'War']",Jeremy Irvine,War Horse ,"['barbed wire', 'british', 'cavalry', 'horse', 'world war one']",PG-13,War,18.0051653,"['Steven Spielberg', 'Jeremy Irvine', 'barbed', 'wire', 'british', 'cavalry', 'horse', 'world', 'war', 'one']"
Ryan Murphy,60000000.0,"['Drama', 'Romance']",James Franco,Eat Pray Love ,"['divorce', 'emotional balance', 'female protagonist', 'indonesia', 'inner peace']",PG-13,Drama,17.9098551202,"['Ryan Murphy', 'James Franco', 'divorce', 'emotional', 'balance', 'female', 'protagonist', 'indonesia', 'inner', 'peace']"
James Bobin,50000000.0,"['Adventure', 'Comedy', 'Crime', 'Family', 'Musical']",Ty Burrell,Muppets Most Wanted ,"['europe', 'frog', 'gulag', 'prison break', 'puppet']",PG,Family,17.7275335634,"['James Bobin', 'Ty Burrell', 'europe', 'frog', 'gulag', 'prison', 'break', 'puppet']"
Michael Bay,150000000.0,"['Action', 'Adventure', 'Sci-Fi']",Zack Ward,Transformers ,"['alien contact', 'autobot', 'decepticon', 'robot vs. robot', 'teenage hero']",PG-13,Sci-Fi,18.8261458521,"['Michael Bay', 'Zack Ward', 'alien', 'contact', 'autobot', 'decepticon', 'robot', 'vs', 'robot', 'teenage', 'hero']"
Betty Thomas,75000000.0,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Music']",Amy Poehler,Alvin and the Chipmunks: The Squeakquel ,"['adidas', 'chipmunk', 'hospital', 'school', 'waste container']",PG,Animation,18.1329986715,"['Betty Thomas', 'Amy Poehler', 'adidas', 'chipmunk', 'hospital', 'school', 'waste', 'container']"
Rob Cohen,35000000.0,"['Action', 'Crime', 'Mystery', 'Thriller']",Cicely Tyson,Alex Cross ,"['assassin', 'detective', 'partner', 'police', 'serial killer']",PG-13,Mystery,17.3708586195,"['Rob Cohen', 'Cicely Tyson', 'assassin', 'detective', 'partner', 'police', 'serial', 'killer']"
Tony Bill,60000000.0,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']",James Franco,Flyboys ,"['american', 'france', 'military', 'pilot', 'training']",PG-13,War,17.9098551202,"['Tony Bill', 'James Franco', 'american', 'france', 'military', 'pilot', 'training']"
Tony Gilroy,60000000.0,"['Comedy', 'Crime', 'Romance', 'Thriller']",Julia Roberts,Duplicity ,"['ceo', 'dubai', 'product', 'rivalry', 'spy']",PG-13,Rom-Com,17.9098551202,"['Tony Gilroy', 'Julia Roberts', 'ceo', 'dubai', 'product', 'rivalry', 'spy']"
Ridley Scott,140000000.0,"['Action', 'Adventure', 'Drama']",Christian Bale,Exodus: Gods and Kings ,"['egypt', 'exodus', 'moses', 'pharaoh', 'plague']",PG-13,Action-Comedy,18.7571529806,"['Ridley Scott', 'Christian Bale', 'egypt', 'exodus', 'moses', 'pharaoh', 'plague']"
David Zucker,45000000.0,['Comedy'],Beau Mirchoff,Scary Movie 4 ,"['female nudity', 'male nudity', 'parody', 'reference to myspace', 'sequel']",PG-13,Comedy,17.6221730477,"['David Zucker', 'Beau Mirchoff', 'female', 'nudity', 'male', 'nudity', 'parody', 'reference', 'to', 'myspace', 'sequel']"
Kevin Smith,37000000.0,"['Action', 'Comedy', 'Crime']",Bruce Willis,Cop Out ,"['baseball card', 'detective', 'partner', 'thief', 'wedding']",R,Rom-Com,17.4264284706,"['Kevin Smith', 'Bruce Willis', 'baseball', 'card', 'detective', 'partner', 'thief', 'wedding']"
